profile	name	stics.name	unit	definition
plot	totalDrainageBottom	NA	liters	Total of bottom drainage in the plot
plot	totalDrainageArtificial	NA	liters	Total of artificial drainage in the plot
plot	totalWaterAddedByWaterTable	NA	liters	Total  of water provided by waterTable in the plot
plot	totalWaterToDesaturation	NA	liters	Total  of water taken by waterTable in the plot
plot	totalCropsNitrogenDemand	NA	kg N ha-1	Total of crops nitrogen demand in the plot
plot	totalNitrogenUptakeByCrops	NA	kg N	Total of crops nitrogen uptake in the plot
plot	totalNitrogenUptakeByTrees	NA	kg N	Total of trees nitrogen uptake in the plot
plot	totalNitrogenUptakeInSaturationByCrops	NA	kg N	Total of nitrogen uptake by the crops in saturated voxels of the plot
plot	totalNitrogenUptakeInSaturationByTrees	NA	kg N	Total of nitrogen uptake by the trees in saturated voxels of the plot
plot	totalNitrogenFertilisationMineral	NA	kg N ha-1	Total of nitrogen from mineral fertilisation in the plot
plot	totalNitrogenFertilisationOrganic	NA	kg N ha-1	Total of nitrogen from organic fertilisation in the plot
plot	totalNitrogenIrrigation	NA	kg N ha-1	Total of nitrogen from irrigation in the plot
plot	totalNitrogenRain	NA	kg N ha-1	Total of nitrogen from precipitations in the plot
plot	totalNitrogenRunOff	NA	kg N ha-1	Total of nitrogen from runoff  in the plot
plot	totalNitrogenFixation	NA	kg N ha-1	Total of nitrogen from crop fixation in the plot
plot	totalNitrogenHumusMineralisation	NA	kg N ha-1	Total of nitrogen from humus mineralisation in the plot
plot	totalNitrogenResiduMineralisation	NA	kg N ha-1	Total of nitrogen from residus mineralisation in the plot
plot	totalNitrogenDenitrification	NA	kg N ha-1	Total of nitrogen from denitrification in the plot
plot	totalNitrogenLeachingBottom	NA	kg N ha-1	Total of nitrogen from bottom leaching in the plot
plot	totalNitrogenLeachingWaterTable	NA	kg N ha-1	Total of nitrogen from wate table leaching in the plot
plot	totalNitrogenAddedByWaterTable	NA	kg N ha-1	Total of nitrogen added by water table in the plot
plot	totalNitrogenImmobilisation	NA	kg N ha-1	Total of nitrogen immobilisation in the plot
plot	totalNitrogenVolatilisation	NA	kg N ha-1	Total of nitrogen volatilisation in the plot
plot	totalNitrogenVolatilisationOrganic	NA	kg N ha-1	Total of nitrogen organc volatilisation in the plot
plot	totalBiomassRestitution	NA	t ha-1	Total of biomass restitution in the plot
plot	totalCarbonResidus	NA	kgC.ha-1	Total of carbon residus in the plot
plot	totalNitrogenResidus	NA	kgN.ha-1	Total of nitrogen residus in the plot
plot	totalTreeCarbonFoliageLitter	NA	kg C ha-1	Total of carbon from trees leaves litter in the plot
plot	totalTreeCarbonBranchesLitter	NA	kg C ha-1	Total of carbon from trees branches litter in the plot
plot	totalTreeCarbonFruitLitter	NA	kg C ha-1	Total of carbon from trees fruits litter in the plot
plot	totalTreeCarbonFineRootsLitter	NA	kg C ha-1	Total of carbon from trees fine roots litter in the plot
plot	totalTreeCarbonCoarseRootsLitter	NA	kg C ha-1	Total of carbon from trees coarse roots litter in the plot
plot	totalTreeNitrogenBranchesLitter	NA	kg N ha-1	Total of nitrogen from trees branches litter in the plot
plot	totalTreeNitrogenFruitLitter	NA	kg N ha-1	Total of nitrogen from trees fruits litter in the plot
plot	totalTreeNitrogenFoliageLitter	NA	kg N ha-1	Total of nitrogen from trees leaves litter in the plot
plot	totalTreeNitrogenFineRootsLitter	NA	kg N ha-1	Total of nitrogen from trees fine roots litter in the plot
plot	totalTreeNitrogenCoarseRootsLitter	NA	kg N ha-1	Total of nitrogen from trees  coarse roots litter in the plot
plot	totalCarbonHumusStock	NA	kg C ha-1	Total amount of carbon (active + inactive) in the soil humus pool of the plot
plot	totalActiveCarbonHumusStock	NA	kg C ha-1	Total of active carbon in the soil humus pool of the plot
plot	totalInactiveCarbonHumusStock	NA	kg C ha-1	Total of inactive carbon in the soil humus pool of the plot
plot	totalNitrogenHumusStock	NA	kg N ha-1	Total  of nitrogen (active + inactive) in the soil humus pool of the plot
plot	totalActiveNitrogenHumusStock	NA	kg N ha-1	Total of active nitrogen in the soil humus pool of the plot
plot	totalInactiveNitrogenHumusStock	NA	kg N ha-1	Total of inactive nitrogen in the soil humus pool of the plot
trees	Date	NA	mm-dd-yyyy	Date
trees	Day	NA	DD	Day of the month
trees	Month	NA	MM	Month
trees	Year	NA	calendar year	Year
trees	JulianDay	NA	1-366	Julian day (day of year)
trees	idTree	NA	NA	Id of the tree
trees	name	NA	NA	Tree species name
trees	age	NA	years	Age of tree since planting
trees	dbh	NA	cm	Tree diameter at breast height
trees	height	NA	m	tree height
trees	totalLeafArea	NA	m2	Tree total leaf area
trees	leafArea	NA	m2	Tree leaf area
trees	leafAreaDensity	NA	m2 m-3	Tree leaf area density
trees	leafLue	NA	g C MJ-1	Tree leaf lue
trees	lai	NA	m2 leaf m-2 soil	Tree leaf area index
trees	crownBaseHeight	NA	m	Tree crown base height (i.e. pruned height, bole height)
trees	crownRadiusInterRow	NA	m	Tree inter-row crown radius (crown radius in the X direction)
trees	crownRadiusTreeLine	NA	m	Tree crown radius parallel to the tree line (crown radius in the Y direction)
trees	crownRadiusVertical	NA	m	Tree crown vertical radius
trees	crownVolume	NA	m3	Tree crown volume
trees	branchVolume	NA	m3	Tree branches volume
trees	stemVolume	NA	m3	Tree stem volume
trees	stemYield	NA	kg	Tree stem biomass
trees	phenologicalStage	NA	0-4	Tree phenological stage
trees	fruitPhenologicalStage	NA	0-4	Tree fruit phenological stage
trees	rootingDepth	NA	m	Tree maximum rooting depth
trees	maxRootDistanceOnTreeLine	NA	m	Tree maximum root extension parallel to tree line (in the Y direction)
trees	maxRootDistanceOnCropLine	NA	m	Tree maximum inter-row root extension (in the X direction)
trees	totalRootsDensity	NA	m m-3	Total tree fine root density
trees	totalRootsLength	NA	m	Total tree fine root length
trees	targetLfrRatio	NA	kg C kg C-1	Target leaf to fine roots ratio (carbonFoliage / (carbonFoliage + carbonFineRoots))
trees	lfrRatio	NA	kg kg-1	Tree leaf to fine root ratio (carbonFoliage / (carbonFoliage / carbonFineRoots))
trees	rootShootRatio	NA	ratio	Ratio of belowground tree carbon to aboveground tree carbon
trees	lueStress	NA	NA	Index of the collective (water and nitrogen) stress effect on LUE
trees	lueWaterStress	NA	NA	Index of water stress effect on LUE
trees	lueNitrogenStress	NA	NA	Index of nitrogen  stress effect on LUE
trees	lueTemperatureStress	NA	NA	Index of temperature stress effect on LUE
trees	waterStress	NA	0-1	Tree water stress (calculated as uptake/demand) (1 = no stress)
trees	nitrogenStress	NA	0-1	Tree nitrogen stress, calculated as: total tree nitrogen content / optimal tree nitrogen content (max(min((totalN/totalOptiN), 1), 0)) (1 = no stress)
trees	totalParIntercepted	NA	Moles	Radiation daily direct+diffuse intercepted PAR
trees	diffuseParIntercepted	NA	Moles	Diffuse PAR intercepted by tree
trees	directParIntercepted	NA	Moles	Direct PAR intercepted by tree
trees	globalRadIntercepted	NA	MJ	Global radiation intercepted by tree
trees	lightCompetitionIndex	NA	ratio	Index of light competition between trees relative to a single isolated tree
trees	nbrDaysInShade	NA	days	Number of days in the shade of another tree
trees	captureFactorForDiffusePar	NA	m2	Capture factor for diffuse PAR in light interception module
trees	captureFactorForDirectPar	NA	m2	Capture factor for direct PAR in light interception module
trees	captureFactorForDirectNir	NA	m2	Capture factor for direct NIR in light interception module
trees	captureFactorForDiffuseNir	NA	m2	Capture factor for diffuse NIR in light interception module
trees	actualWaterPotential	NA	cm	Tree water potential with reduced uptake
trees	waterDemand	NA	liters	Tree water demand
trees	waterDemandReduced	NA	liters	Reduced water demand for Rachmat water extraction module
trees	waterUptake	NA	liters	Tree water uptake
trees	waterUptakeInSaturation	NA	liters	Tree water uptake from saturated voxels
trees	waterUptakePotential	NA	NA	treeWaterUptakePotential
trees	treeLeafTranspirationRate	NA	%	treeLeafTranspirationRate
trees	stemflow	NA	liters	Stemflow
trees	interceptedRain	NA	liters	Rain intercepted by tree canopy
trees	storedRain	NA	liters	Rain intercepted by tree canopy that is stored until the next day
trees	evaporatedRain	NA	liters	Rain intercepted by the tree canopy that is then evaporated off
trees	rootedVolume	NA	m3 of soil	Total volume of voxels containing tree roots
trees	nitrogenDemandBeforeFixation	NA	kg N	Tree nitrogen demand before fixation
trees	nitrogenDemandAfterFixation	NA	kg N	Tree nitrogen demand after fixation
trees	nitrogenUptake	NA	kg N	Tree nitrogen uptake
trees	nitrogenUptakeInSaturation	NA	kg N	Tree nitrogen uptake from saturated voxels
trees	nitrogenSatisfaction	NA	ratio	Tree nitrogen satisfaction, calculated as: min((totalN/(totalOptiN*targetNCoefficient)), 1)
trees	nitrogenSaturation	NA	ratio	Tree nitrogen saturation, calculated as: min((totalN-(totalOptiN * targetNCoefficient))/(totalOptiN * targetNCoefficient * (luxuryNCoefficient-1)), 1)
trees	nitrogenStem	NA	kg N	Nitrogen pool in tree stem
trees	nitrogenStump	NA	kg N	Nitrogen pool in tree stump
trees	nitrogenFoliage	NA	kg N	Nitrogen pool in tree foliage
trees	nitrogenBranches	NA	kg N	Nitrogen pool in tree branches
trees	nitrogenCoarseRoots	NA	kg N	Nitrogen pool in tree coarse roots
trees	nitrogenFineRoots	NA	kg N	Nitrogen pool in tree fine roots
trees	nitrogenLabile	NA	kg N	Nitrogen in tree labile pool
trees	nitrogenFruit	NA	kg N	Nitrogen in tree fruit pool
trees	nitrogenFoliageIncrement	NA	kg C	Nitrogen foliage daily allocated
trees	nitrogenLabileIncrement	NA	kg C	Nitrogen labile daily allocated
trees	nitrogenBranchesIncrement	NA	kg C	Nitrogen branch daily allocated
trees	nitrogenStemIncrement	NA	kg C	Nitrogen stem daily allocated
trees	nitrogenStumpIncrement	NA	kg C	Nitrogen stump daily allocated
trees	nitrogenCoarseRootsIncrement	NA	kg C	Nitrogen coarse roots daily allocated
trees	nitrogenFineRootsIncrement	NA	kg C	Nitrogen fine roots daily allocated
trees	nitrogenFruitIncrement	NA	kg C	Nitrogen fruit daily allocated
trees	totalNitrogenFoliageSen	NA	kg N	Nitrogen senesced in tree foliage
trees	nitrogenCoarseRootsSen	NA	kg N	Nitrogen senesced in tree coarse roots (includes roots above and below the humification depth)
trees	nitrogenCoarseRootsSenAnoxia	NA	kg N	Nitrogen senesced in tree coarse roots caused by anoxia (includes roots above and below the humification depth)
trees	nitrogenFineRootsSen	NA	kg N	Nitrogen senesced in tree fine roots (includes roots above and below the humification depth)
trees	nitrogenFineRootsSenAnoxia	NA	kg N	Nitrogen senesced in tree fine roots caused by anoxia (includes roots above and below the humification depth)
trees	nitrogenBranchesExported	NA	kg N	Nitrogen exported (removed from scene) in branches. Occurs during any tree thinning or branch pruning.
trees	nitrogenFoliageExported	NA	kg N	Nitrogen exported (removed from scene) in foliage. Occurs during tree thinning or branch pruning when leaves are present.
trees	nitrogenStemExported	NA	kg N	Nitrogen exported (removed from scene) in stem. Occurs during any tree thinning.
trees	nitrogenFruitExported	NA	kg N	Nitrogen exported (removed from scene) in fruit.
trees	totalNitrogenBranchesDeadOnTree	NA	kg N	Nitrogen branches dead on tree.
trees	totalOptiN	NA	kg N	Optimum level of (structural) nitrogen for whole tree (i.e. sum of optimal nitrogen level in all non-labile pools)
trees	totalN	NA	kg N	Total nitrogen for whole tree
trees	nitrogenSinkStrength	NA	NA	Tree nitrogen sink strength, calculated as nitrogenDemand / totalFineRootLength
trees	carbonAllocToGrowth	NA	kg C tree-1	Assimilated carbon that is allocated to growth (i.e. not to carbonLabile)
trees	totalCarbonIncrement	NA	kg c	Carbon assimilated by the tree
trees	carbonAboveGroundEff	NA	kg kg -1	"Tree aboveground carbon ""efficiency"" calculated as: carbonFoliage/(carbonFoliage+carbonStem+carbonBranches)"
trees	carbonBelowGroundEff	NA	NA	below ground carbon efficiency
trees	totalCarbonFoliage	NA	kg C	Carbon pool in tree foliage
trees	carbonBranches	NA	kg C	Carbon pool in tree branches
trees	carbonStem	NA	kg C	Carbon pool in tree stem
trees	carbonStump	NA	kg C	Carbon pool in tree stump
trees	carbonCoarseRoots	NA	kg C	Carbon pool in tree coarse roots
trees	carbonFineRoots	NA	kg C	Carbon pool in tree fine roots
trees	carbonLabile	NA	kg C	Carbon in tree labile pool
trees	carbonFruit	NA	kg C	Carbon in tree fruit pool
trees	carbonFoliageIncrement	NA	kg C	Carbon foliage daily allocated
trees	carbonBranchesIncrement	NA	kg C	Carbon branch daily allocated
trees	carbonStemIncrement	NA	kg C	Carbon stem daily allocated
trees	carbonStumpIncrement	NA	kg C	Carbon stump daily allocated
trees	carbonCoarseRootsIncrement	NA	kg C	Carbon coarse roots daily allocated
trees	carbonFineRootsIncrement	NA	kg C	Carbon fine roots daily allocated
trees	carbonFruitIncrement	NA	kg C	Carbon fruit daily allocated
trees	carbonFoliageSen	NA	kg C	Carbon senesced in total tree foliage
trees	carbonBranchesSen	NA	kg C	Carbon senesced in tree branches
trees	carbonFineRootsSen	NA	kg C	Carbon senesced in tree fine roots (includes roots above and below the humification depth)
trees	carbonFineRootsSenAnoxia	NA	kg C	Carbon senesced in tree fine roots caused by anoxia (includes roots above and below the humification depth)
trees	carbonCoarseRootsSen	NA	kg C	Carbon senesced in tree coarse roots (includes roots above and below the humification depth)
trees	carbonCoarseRootsSenAnoxia	NA	kg C	Carbon senesced in tree coarse roots caused by anoxia (includes roots above and below the humification depth)
trees	carbonBranchesExported	NA	kg C	Carbon exported (removed from scene) in branches. Occurs during any tree thinning or branch pruning.
trees	carbonFoliageExported	NA	kg C	Carbon exported (removed from scene) in foliage. Occurs during tree thinning or branch pruning when leaves are present.
trees	carbonStemExported	NA	kg C	Carbon exported (removed from scene) in stem. Occurs during any tree thinning.
trees	carbonStumpExported	NA	kg C	Carbon exported (removed from scene) in stem. Occurs during any tree thinning.
trees	carbonFruitExported	NA	kg C	Carbon exported (removed from scene) in fruit.
trees	totalCarbonBranchesDeadOnTree 	NA	kg C	Carbon branches dead on tree.
trees	nCFoliage	NA	kg N kg C -1	N/C ratio of tree foliage pool
trees	nCBranches	NA	kg N kg C -1	N/C ratio of tree branch pool
trees	nCStem	NA	kg N kg C -1	N/C ratio of tree stem pool
trees	nCStump	NA	kg N kg C -1	N/C ratio of tree stump pool
trees	nCCoarseRoots	NA	kg N kg C -1	N/C ratio of tree coarse root pool
trees	nCFineRoots	NA	kg N kg C -1	N/C ratio of tree fine root pool
trees	nCFruit	NA	kg N kg C -1	N/C ratio of tree fruit pool
trees	nCLabile	NA	kg N kg C -1	N/C ratio of tree labile pool
trees	aboveGroundCFraction	NA	ratio	Fraction of woody C located within stem and branches. Woody compartments include stem, branches, stump, and coarse roots. 
trees	aboveGroundAllocFrac	NA	ratio	Carbon above ground allocation fraction
trees	belowGroundAllocFrac	NA	ratio	Carbon below ground allocation fraction
trees	carbonCoarseRootsImbalance	NA	kg C	carbonCoarseRootsImbalance
trees	budburstAccumulatedTemperature	NA	degreesC	budburstAccumulatedTemperature
trees	budburstAccumulatedColdTemperature	NA	degreesC	budburstAccumulatedColdTemperature
trees	heatAccumulatedTemperature	NA	degreesC	heatAccumulatedTemperature
trees	budburstDate	NA	DOY	budburstDate
trees	floweringDate	NA	DOY	floweringDate
trees	fruitSettingDate	NA	DOY	fruitSettingDate
trees	fruitGrowthDate	NA	DOY	fruitGrowthDate
trees	veraisonDate	NA	DOY	veraisonDate
trees	floweringDuration	NA	nbr days	floweringDuration
trees	leafExpansionEndingDate	NA	DOY	leafExpansionEndingDate
trees	leafFallStartingDate	NA	DOY	leafFallStartingDate
trees	leafFallEndingDate	NA	DOY	leafFallEndingDate
trees	flowerNbrPotentialFromLeafArea	NA	NA	flowerNbrPotentialFromLeafArea
trees	flowerNbrPotentialReducer	NA	NA	flowerNbrPotentialReducer
trees	flowerNbrPotential	NA	NA	Flower number Potential
trees	flowerNbrPotentialDaily	NA	NA	Flower number Potential Daily
trees	flowerNbr	NA	NA	Flower number
trees	fruitNbr	NA	NA	Fruit number
trees	fruitCarbonStressIndex	NA	NA	fruitCarbonStressIndex
trees	floweringHeatStress	NA	NA	floweringHeatStress
trees	floweringFrostStress	NA	NA	floweringFrostStress
trees	fruitCarbonTarget	NA	kg C	fruitCarbonTarget
trees	fruitDemandTarget	NA	NA	fruitDemandTarget
trees	fruitMeanDryMatterWeight	NA	NA	fruit mean DryMatterWeight
trees	fruitMeanFreshMatterWeight	NA	NA	fruitmean FreshMatterWeight
trees	fruitVolume 	NA	NA	fruitVolume 
trees	fruitEquivalentSurfaceArea	NA	NA	fruitEquivalentSurfaceArea
trees	fruitOilConcentration	NA	NA	fruitOilConcentration
trees	fruitOilWeight 	NA	NA	fruitOilWeight 
trees	fruitOilYield	NA	NA	fruitOilYield
trees	leafAgeStress	NA	0-1	leafAgeStress
trees	leafFrostStress	NA	0-1	leafFrostStress
trees	leafWaterNitrogenStress	NA	0-1	leafWaterNitrogenStress
trees	co2LueEffect	NA	0-1	Effect of CO2 on LUE
trees	co2WueEffect	NA	0-1	Effect of CO2 on WUE
trees	nbCellsBellow	NA	NA	nbCellsBellow
trees	carbonFoliageLitterAllPlot	NA	kg C	carbonFoliageLitterAllPlot
trees	carbonBranchesLitterAllPlot	NA	kg C	carbonBranchesLitterAllPlot
trees	carbonFruitLitterAllPlot	NA	kg C	carbonFruitLitterAllPlot
trees	carbonFoliageLitterUnderTree	NA	kg N	carbonFoliageLitterUnderTree
trees	carbonBranchesLitterUnderTree	NA	kg N	carbonBranchesLitterUnderTree
trees	carbonFruitLitterUnderTree	NA	kg N	carbonFruitLitterUnderTree
voxels	Date	NA	mm-dd-yyyy	Date
voxels	Year	NA	calendar year	Year
voxels	Month	NA	MM	Month
voxels	Day	NA	DD	Day of the month
voxels	JulianDay	NA	1-366	Julian day (day of year)
voxels	idCell	NA	NA	A unique id number for each cell in the plot (starting in the top-left corner of the plot and then from -x to +x, y to -y)
voxels	idVoxel	NA	NA	A unique id number for each voxel in the plot (starting in the top-left corner of the plot and then from shallow to deep, -x to +x, +y to -y)
voxels	x	NA	m	The x-coordinate of the cell's corner closest to the plot's x-y origin (bottom-left corner of plot)
voxels	y	NA	m	The y-coordinate of the cell's corner closest to the plot's x-y origin (bottom-left corner of plot)
voxels	z	NA	m	The z-coordinate of the voxel's centroid
voxels	thickness	NA	m	Voxel thickness
voxels	volume	NA	m3	Voxel volume
voxels	bulkDensity	NA	kg m-3	Soil bulk densiity (including fine soil and stones)
voxels	fieldCapacity	NA	m m-3	Soil field capacity (including fine soil and stones)
voxels	wiltingPoint	NA	m m-3	Soil wilting point (fine soil + stones)
voxels	waterStock	NA	liters	Soil water stock
voxels	theta	NA	m3 m-3	Fractional soil water content (fine soil + stones)
voxels	isSaturated	NA	NA	Saturated voxel
voxels	waterPotentialTheta	NA	cm	Soil water potential
voxels	nitrogenNh4Stock	NA	g N 	NH4 stock in voxel
voxels	nitrogenNo3Stock	NA	g N 	NO3 stock in voxel
voxels	cropRootsDensity	NA	m m-3	Crop roots density
voxels	cropWaterUptake	NA	liters	Crop water uptake
voxels	cropNitrogenUptake	NA	g N 	Crop nitrogen uptake
voxels	colonisationDirection	NA	NA	Colonisation Direction
voxels	treeRootsDensity	NA	m m-3	Tree fine roots density
voxels	treeRootsDensitySen	NA	m m-3	Tree fine roots density senescence
voxels	totalTreeRootsDensity	NA	m roots m-3 soil	Sum of fine roots density from all trees
voxels	totalTreeRootsDensitySen	NA	kg	totalTreeRootsDensitySen 
voxels	treeWaterUptake	NA	liters	Tree water uptake
voxels	totalTreeWaterUptake	NA	liters	Sum of water uptake by all trees
voxels	treeNitrogenUptake	NA	g N 	Tree nitrogen uptake quantity
voxels	totalTreeNitrogenUptake	NA	g N 	N uptake by tree 
voxels	mineralNitrogenStock	NA	g N 	Nitrogen stock No3+Nh4
voxels	cumulatedTreeNitrogenRootsSen	NA	kg N 	cumulatedTreeNitrogenRootsSen
voxels	treeDeepRootsMineralisation	NA	kg N 	treeDeepRootsMineralisation
voxels	nitrogenAvailableForBoth	NA	g N 	nitrogenAvailableForBoth
voxels	nitrogenAvailableForTrees	NA	g N 	nitrogenAvailableForTrees
voxels	nitrogenAvailableForCrops	NA	g N 	nitrogenAvailableForCrops
voxels	saturationDuration	NA	days	Number of days since saturation in this voxel was initiated
voxels	treeRootsAgeInWater	NA	days	Number of days tree have roots in water table
voxels	totalTreeCarbonFineRoots	NA	kg C	total carbon tree fine roots
voxels	totalTreeCarbonCoarseRoots	NA	kg C	total carbon tree coarses roots
voxels	totalTreeNitrogenFineRoots	NA	kg N	total N tree fine roots
voxels	totalTreeNitrogenCoarseRoots	NA	kg N	total N tree coarses roots
voxels	totalTreeCarbonFineRootsSen	NA	kg C	total senescent carbon tree fine roots
voxels	totalTreeCarbonCoarseRootsSen	NA	kg C	total senescent carbon tree coarses roots
voxels	totalTreeNitrogenFineRootsSen	NA	kg N	total senescent N tree fine roots
voxels	totalTreeNitrogenCoarseRootsSen	NA	kg N	total senescent N tree coarses roots
voxels	totalTreeCarbonCoarseRootsTarget	NA	kg	totalTreeCarbonCoarseRootsTarget 
voxels	totalTreeCarbonCoarseRootsImbalance	NA	kg	totalTreeCarbonCoarseRootsImbalance 
voxels	surfaceCarbonResidues	NA	kg C	surfaceCarbonResidues 
voxels	deepCarbonResidues	NA	kg C	deepCarbonResidues 
voxels	rootCarbonResidues	NA	kg C	rootCarbonResidues 
voxels	surfaceNitrogenResidues	NA	kg N	surfaceNitrogenResidues 
voxels	deepNitrogenResidues	NA	kg N	deepNitrogenResidues 
voxels	rootNitrogenResidues	NA	kg N	rootNitrogenResidues 
voxels	thetaFineSoil	NA	m3 m-3	Fractional water content of fine soil component of soil
voxels	thetaStone	NA	m3 m-3	Fractional water content of stone component of soil
voxels	waterPotentialThetaFineSoil	NA	cm	Water potential of the fine soil component of soil
voxels	waterStockFineSoil	NA	liters	Water potential of the fine soil component of soil
voxels	fieldCapacityFineSoil	NA	m m-3	Field capacity of fine soil component of soil
voxels	fieldCapacityStone	NA	m m-3	Field capacity of stone component of soil
voxels	wiltingPointFineSoil	NA	m m-3	Wilting point of fine soil component of soil
voxels	wiltingPointStone	NA	m m-3	Wilting point of stone component of soil
voxels	bulkDensityFineSoil	NA	kg m-3	Bulk density of fine soil component of soil
voxels	volumeFineSoil	NA	m3	Volume of the fine soil in the voxel (voxel volume reduced by volume of stones)
zones	Date	NA	mm-dd-yyyy	Date
zones	Year	NA	calendar year	Year
zones	Month	NA	MM	Month
zones	Day	NA	DD	Day of the month
zones	JulianDay	NA	1-366	Julian day (day of year)
zones	area	NA	m2	Surface area of the zone
zones	area	NA	m2	Surface area of the zone
zones	cropSpeciesName	NA	NA	Name of crop species
zones	totalCropBiomass	NA	t ha-1	Total biomass of the zone
zones	meanCropBiomass	NA	t ha-1	Mean biomass of the zone
zones	meanPeakCropBiomass	NA	t ha-1	Mean peak biomass of the zone
zones	totalCropYield	NA	t ha-1	Total yield of the zone
zones	meanCropYield	NA	t ha-1	Mean yield of the zone
zones	meanPeakCropYield	NA	t ha-1	Mean peak yield of the zone
zones	totalCropLai	NA	m2 leaf m-2 soil	Total LAI of the zone
zones	meanCropLai	NA	m2 leaf m-2 soil	Mean LAI of the zone
zones	meanPeakCropLai	NA	m2 leaf m-2 soil	Mean peak LAI of the zone
zones	totalCropEai	NA	m2 leaf m-2 soil	Total EAI of the zone
zones	meanCropEai	NA	m2 leaf m-2 soil	Mean EAI of the zone
zones	meanPeakCropEai	NA	m2 leaf m-2 soil	Mean peak EAI of the zone
zones	totalCropHeight	NA	m	Mean canopy height in the zone
zones	meanCropHeight	NA	m	Mean canopy height in the zone
zones	meanCropGrainNumber	NA	nbr m-2	Mean of number of grains in the zone
zones	meanCropGrainWeight	NA	g	Mean of grain weight in the zone
zones	meanCropPlantDensity	NA	plants m-2	Mean of sowing density of the zone
zones	meanCropSla	NA	cm2 g-1	Mean of  Specific surface area of the zone
zones	meanCropTemperature	NA	degreesC	Mean crop surface temperature of the zone
zones	meanSoilSurfaceTemperature	NA	degreesC	Mean soil surface temperature of the zone
zones	meanCropRootsDepth	NA	m	Mean depth reached by root system in the zone
zones	meanCropRootsLenght	NA	m	Mean Crop root lenght of the zone
zones	meanCropQngrain	NA	kg N ha-1	Mean of nitrogen in harvested organs (grains / fruits) on the zone
zones	meanCropQnplante	NA	kg N ha-1	Mean of nitrogen taken up by the plant on the zone
zones	meanCropCngrain	NA	%	Mean of Nitrogen concentration of grains on the zone
zones	meanCropCnplante	NA	%	Mean of Nitrogen concentration of entire plant on the zone
zones	totalParIncident	NA	moles.m-2	Total PAR Incident on the zone
zones	meanParIncident	NA	moles.m-2	Mean PAR Incident on the zone
zones	totalParInterceptedByCrop	NA	moles PAR m-2	Total PAR Intercepted ByCrop on the zone
zones	meanParInterceptedByCrop	NA	moles PAR m-2	Mean PAR Intercepted ByCrop on the zone
zones	meanCropHisafeWaterStress	NA	NA	mainCropHisafeWaterStress
zones	meanCropHisafeNitrogenStress	NA	NA	mainCropHisafeNitrogenStress
zones	meanCropNitrogenLaiStress	NA	0-1	Mean Index of nitrogen stress active on leaf growth
zones	meanCropNitrogenBiomassStress	NA	0-1	Mean of Index of nitrogen stress active on growth in biomass
zones	meanCropNitrogenSenescenceStress	NA	0-1	Mean Index of nitrogen stress active on leaf death
zones	totalWaterStock	NA	liters	Total water stock in the zone 
zones	totalWaterUptakeByCrop	NA	liters	Total of water uptake by the crop in the zone
zones	totalWaterUptakeByTrees	NA	liters	Total of water uptake by the trees in the zone
zones	totalWaterUptakeInSaturationByCrop	NA	liters	Total of water uptake by the crop in saturated voxels of the zone
zones	totalWaterUptakeInSaturationByTrees	NA	liters	Total of water uptake by the trees in saturated voxels of the zone
zones	totalSoilEvaporation	NA	liters	Total of soil evaporation in the zone
zones	totalIrrigation	NA	liters	Total of irrigation in the zone
zones	totalRainTransmittedByCrop	NA	liters	Total of rain transmitted by the crop in the zone
zones	totalRainInterceptedByCrop	NA	liters	Total of rain intercepted by the crop in the zone
zones	totalCropWaterDemand	NA	liters	Total of crop water demand in the zone
zones	totalCropWaterDemandReduced	NA	liters	Total of crop water demand reduiced in the zone
zones	totalSurfaceRunOff	NA	liters	Total of surface runOff inthe zone
zones	totalDrainageBottom	NA	liters	Total of bottom drainage in the zone
zones	totalDrainageArtificial	NA	liters	Total of artificial drainage in the zone
zones	totalWaterAddedByWaterTable	NA	liters	Total  of water provided by waterTable in the zone
zones	totalWaterToDesaturation	NA	liters	Total  of water taken by waterTable in the zone
zones	totalCropNitrogenDemand	NA	kg N ha-1	Total of crop nitrogen demand in the zone
zones	totalNitrogenUptakeByCrop	NA	kg N	Total of crop nitrogen uptake in the zone
zones	totalNitrogenUptakeByTrees	NA	kg N	Total of tree nitrogen uptake in the zone
zones	totalNitrogenUptakeInSaturationByCrop	NA	kg N	Total of nitrogen uptake by the crop in saturated voxels of the zone
zones	totalNitrogenUptakeInSaturationByTrees	NA	kg N	Total of nitrogen uptake by the trees in saturated voxels of the zone
zones	totalNitrogenFertilisationMineral	NA	kg N ha-1	Total of nitrogen from mineral fertilisation in the zone
zones	totalNitrogenFertilisationOrganic	NA	kg N ha-1	Total of nitrogen from organic fertilisation in the zone
zones	totalNitrogenIrrigation	NA	kg N ha-1	Total of nitrogen from irrigation in the zone
zones	totalNitrogenRain	NA	kg N ha-1	Total of nitrogen from precipitations in the zone
zones	totalNitrogenRunOff	NA	kg N ha-1	Total of nitrogen from runoff  in the zone
zones	totalNitrogenFixation	NA	kg N ha-1	Total of nitrogen from crop fixation in the zone
zones	totalNitrogenHumusMineralisation	NA	kg N ha-1	Total of nitrogen from humus mineralisation in the zone
zones	totalNitrogenResiduMineralisation	NA	kg N ha-1	Total of nitrogen from residus mineralisation in the zone
zones	totalNitrogenDenitrification	NA	kg N ha-1	Total of nitrogen from denitrification in the zone
