file	name	definition	unit	example	type	min	max	accepted	stics.name
STICS	codeinitprec	option to activate reinitialization of initial conditions in case of chained simulations 	"1 = yes, 2 = no"		NA	NA	NA	NA	codeinitprec
STICS	codeinnact	option of activation of N stress effect on the crop 	"1 = yes, 2 = no"		NA	NA	NA	NA	codeinnact
STICS	codemicheur	option of calculation of hourly microclimatic outputs 	"1 = yes, 2 = no"		NA	NA	NA	NA	codemicheur
STICS	codeminopt	option to maintain a constant water content in bare soil during the simulation 	code 0/1		NA	NA	NA	NA	codeminopt
STICS	codemontaison	option to stop the reserve limitation after stem elongation in grassland 	"1 = yes, 2 = no"		NA	NA	NA	NA	codemontaison
STICS	codemsfinal	option defining the biomass and yield conservation after harvest	"1 = yes (values maintained equal to harvest), 2 = no (values set at 0)"		NA	NA	NA	NA	codemsfinal
STICS	codeNmindec	option to activate the limitation of mineral N availability for residues decomposition in soil 	"1 = yes, 2 = no"		NA	NA	NA	NA	codeNmindec
STICS	codeoutscient	option to write outputs files with scientific format 	"1 = yes, 2 = no"		NA	NA	NA	NA	codeoutscient
STICS	codepluiepoquet	option to replace rainfall by irrigation at poquet depth in the case of poquet sowing 	"1 = yes, 2 = no"		NA	NA	NA	NA	codepluiepoquet
STICS	codeprofmes	option of soil depth for calculating water and N stocks	" 1 = profmes,  2 = soil depth"		NA	NA	NA	NA	codeprofmes
STICS	codesensibilite	option to activate the sensitivity analysis version of the model 	"1 = yes, 2 = no"		NA	NA	NA	NA	codesensibilite
STICS	codeseprapport	option to select the column separator in the rapport.sti output file	"1 = space separator, 2 = separator indicated in the separateurrapport parameter"		NA	NA	NA	NA	codeseprapport
STICS	codeSWDRH	calculation of surface wetness duration 	"1 = yes, 2 = no"		NA	NA	NA	NA	codeSWDRH
STICS	codesymbiose	option for calculating symbiotic N fixation	"1 = critical dilution curve, 2 = calculated N fixation"		NA	NA	NA	NA	codesymbiose
STICS	codetempfauche	option of the reference temperature to compute cutting sum of temperatures	"1 = upvt, 2 = udevair"		NA	NA	NA	NA	codetempfauche
STICS	codetesthumN	option for automatic N fertilisation calculation 	"1 = based on rainfall, 2 = based on soil water content"		NA	NA	NA	NA	codetesthumN
STICS	codetranspitalle	choice of the ratio used to calculate tiller mortality 	"1 = et/etm, 2 = epc2/eopC"		NA	NA	NA	NA	codetranspitalle
STICS	codetrosee	calculation of hourly dew temperature 	" 1=linear interpolation(actual calculation), 2=sinusoidal interpolation (Debele Bekele et al ,2007)"		NA	NA	NA	NA	codetrosee
STICS	codetycailloux	pebble type code	code 1 to 10		integer	1	10	NA	codetycailloux
STICS	codetypeng	fertiliser type code	code 1 to 8		integer	1	8	NA	codetypeng
STICS	codetypres	organic residue type code	code 1 to 21		integer	1	8	NA	codetypres
STICS	codhnappe	mode of calculation of watertable level	"1 = mean height, 2 = height at the distance distdrain"		NA	NA	NA	NA	codhnappe
STICS	coefb	parameter defining radiation effect on conversion efficiency	unitless		real	0.05	0.15	NA	coefb
STICS	coefracoupe	coefficient to define the proportion of dying roots after cut of forage crops	unitless		real	0.001	1	NA	coefracoupe
STICS	concrr	inorganic N concentration (NH4+NO3-N) in the rain	kg ha-1 mm-1		real	0	3	NA	concrr
STICS	CroCo	fraction of organic residue which is decomposable	unitless		real	0	1	NA	CroCo
STICS	cwb	minimum ratio C/N of microbial biomass decomposing organic residues	g g-1		real	5	60	NA	cwb
STICS	dacohes	bulk density of soil below which root growth is reduced due to a lack of soil cohesion	g cm-3		real	0.001	1.4	NA	dacohes
STICS	daseuilbas	bulk density of soil above which root growth is maximal	g cm-3		real	1	1.4	NA	daseuilbas
STICS	daseuilhaut	bulk density of soil above which root growth becomes impossible	g cm-3		real	1.4	2.5	NA	daseuilhaut
STICS	deneng	maximal fraction of the mineral fertilizer that can be denitrified (used if codedenit is not activated)	unitless		real	0	1	NA	deneng
STICS	difN	diffusion coefficient of nitrate N in soil at field capacity	cm2 d-1		real	0.01	0.1	NA	difN
STICS	diftherm	soil thermal diffusivity	cm2 s-1		real	0.001	0.01	NA	diftherm
STICS	distdrain	distance to the drain to calculate watertable height	cm		real	0	25000	NA	distdrain
STICS	dosimxN	maximum amount of fertiliser N applied on a given day (mode automatic fertilisation)	kg ha-1		real	5	500	NA	dosimxN
STICS	dpHvolmax	maximal pH increase following the application of slurry	unitless		real	0	3	NA	dpHvolmax
STICS	eau_mini_decisemis	minimum amount of rainfall to start sowing (when codesemis is activated)	mm		integer	0	40	NA	eau_mini_decisemis
STICS	engamm	fraction of ammonium in the N fertilizer	unitless		real	0	1	NA	engamm
STICS	fhminsat	relative soil mineralisation rate at water saturation	unitless		real	0	1	NA	fhminsat
STICS	finert	initial fraction of soil organic N inactive for mineralisation  (= stable SON/ total SON)	unitless		real	0	1	NA	finert
STICS	flagecriture	"option for writing the output files (1 = mod_history.sti, 2=daily outputs,4= report outputs, 8=balance outputs,16 = profile outputs,  32= debug outputs, 64 = screen outputs, 128 = agmip outputs) add them to have several types of outputs"	0-511		NA	NA	NA	NA	flagecriture
STICS	fmin1	relative potential mineralization rate: K2 = fmin1 * exp(-fmin2*argi) / (1+fmin3*calc)	d-1		real	0	1.00E+00	NA	fmin1
STICS	fmin2	parameter defining the effect of clay on the potential mineralization rate: K2 = fmin1 * exp(-fmin2*argi) / (1+fmin3*calc)	%		real	0	1	NA	fmin2
STICS	fmin3	parameter defining the effect of CaCO3 on the potential mineralization rate: K2 = fmin1 * exp(-fmin2*argi) / (1+fmin3*calc)	%		real	0	1	NA	fmin3
STICS	fNCbiomin	minimal value for the ratio N/C of the microbial biomass when N limits decomposition	unitless		real	0.01	0.1	NA	fNCbiomin
STICS	fNmindecmin	minimal fraction of mineral N available for residues decomposition (if codeNmindec is activated)	unitless		real	0	1	NA	fNmindecmin
STICS	fnx	potential nitrification rate constant (at temperature tnitopt)	d-1		real	0.01	1	NA	fnx
STICS	fredkN	reduction factor of decomposition rate of organic residues when mineral N is limiting	unitless		real	0.1	1	NA	fredkN
STICS	fredlN	reduction factor of decomposition rate of microbial biomass when mineral N is limiting	unitless		real	0.2	1	NA	fredlN
STICS	fredNsup	additional reduction factor of residues decomposition rate when mineral N is very limited in soil	unitless		real	0	1	NA	fredNsup
STICS	ftemh	parameter (1/2) of the temperature function on humus decomposition rate	K-1		real	0.05	0.5	NA	ftemh
STICS	ftemha	parameter (2/2) of the temperature function on humus decomposition rate	*		real	10	50	NA	ftemha
STICS	ftemr	parameter (1/2) of the temperature function on decomposition rate of organic residues	K-1		real	0.05	0.5	NA	ftemr
STICS	ftemra	parameter (2/2) of the temperature function on decomposition rate of organic residues	*		real	5	30	NA	ftemra
STICS	hcccx	gravimetric water content at field capacity of each type of pebble	% w		real	10	110	NA	hcccx
STICS	hminm	relative water content (fraction of field capacity) below which mineralisation rate is nil	unitless		real	0.1	1	NA	hminm
STICS	hminn	relative water content (fraction of field capacity) below which nitrification rate is nil	unitless		real	0.1	1	NA	hminn
STICS	hoptm	relative water content (fraction of field capacity) below which mineralisation rate is maximum	unitless		real	0.1	1	NA	hoptm
STICS	hoptn	relative water content (fraction of field capacity) below which nitrification rate is maximum	unitless		real	0.1	1	NA	hoptn
STICS	humirac_decisemis	"effect of soil moisture for sowing decision ( from 0 to 1 : 0 = no sensitivity to drought, 1 = very sensitive)"	unitless		NA	NA	NA	NA	humirac_decisemis
STICS	iniprofil	option of smoothing out the initial N and water profiles (spline function) 	"1 = yes, 2 = no"		NA	NA	NA	NA	iniprofil
STICS	irrlev	amount of irrigation applied automatically on the sowing day to allow germination when the model calculates irrigation	mm		real	0	50	NA	irrlev
STICS	kbio	potential decay rate of microbial biomass decomposing organic residues	d-1		real	0	250	NA	kbio
STICS	kcouvmlch	extinction coefficient connecting the soil cover to the amount of plant mulch	*		real	0	150	NA	kcouvmlch
STICS	khaut	extinction coefficient connecting LAI to crop height	*		real	0.2	2	NA	khaut
STICS	lvopt	root length density (RLD) above which water and N uptake are maximum and independent of RLD	cm cm-3		real	0.2	1	NA	lvopt
STICS	masvolcx	bulk density of each type of pebble	g cm-3		real	0.5	5	NA	masvolcx
STICS	maxtalle	maximum tillers density  per soil area	nb m-2		real	0	10000	NA	maxtalle
STICS	mouillabilmulch	maximum wettability of crop mulch	mm t-1 ha		real	0.05	5	NA	mouillabilmulch
STICS	nbj_pr_apres_semis	number of days used to calculate rainfall requirement to start sowing (if codesemis is activated)	d		integer	1	20	NA	nbj_pr_apres_semis
STICS	nbjoursrrversirrig	number of days during which rainfall is replaced by irrigation in the soil after a sowing poquet	d		integer	0	0	NA	nbjoursrrversirrig
STICS	orgeng	maximal amount of fertilizer N that can be immobilized in the soil (fraction for type 8)	kg ha-1		real	0	100	NA	orgeng
STICS	param_tmoy_histo	mean temperature over the period of adaptation to climate change	degreeC		real	0	0	NA	param_tmoy_histo
STICS	parsurrg	ratio of PAR to RG (global radiation) 	unitless		real	0.4	0.6	NA	parsurrg
STICS	periode_adapt_CC	number of successive years used to calculate moving temperature average	unitless		integer	0	0	NA	periode_adapt_CC
STICS	pHmaxnit	soil pH above which nitrification is maximum	pH		real	6	9	NA	pHmaxnit
STICS	pHmaxvol	soil pH above which NH3 volatilisation derived from fertiliser is maximum	pH		real	6	9	NA	pHmaxvol
STICS	pHminnit	soil pH below which nitrification is nil	pH		real	3	6.00E+00	NA	pHminnit
STICS	pHminvol	soil pH below which NH3 volatilisation derived from fertiliser is nil	pH		real	3	6	NA	pHminvol
STICS	pHvols	parameter used to calculate the variation of soil pH after the addition of slurry	pH		real	5	9.00E+00	NA	pHvols
STICS	plNmin	minimal amount of rain required to start an automatic N fertilisation	mm d-1		real	5	30	NA	plNmin
STICS	pminruis	minimal amount of rain required to produce runoff 	mm d-1		real	2	50	NA	pminruis
STICS	primingmax	maximum priming ratio (relative to SOM decomposition rate)	unitless		real	1	5	NA	primingmax
STICS	proflabour	minimal soil depth for ploughing (if soil compaction is activated)	cm		real	0	100	NA	proflabour
STICS	proftravmin	minimal soil depth for chisel tillage (if soil compaction is activated)	cm		real	0	100	NA	proftravmin
STICS	prophumtassrec	soil moisture content (fraction of field capacity) above which compaction may occur and delay harvest	unitless		real	0.8	1.8	NA	prophumtassrec
STICS	prophumtasssem	soil moisture content (fraction of field capacity) above which compaction may occur and delay sowing	unitless		real	0.8	1.8	NA	prophumtasssem
STICS	proprac	ratio of root mass to aerial mass at harvest	g g-1		real	0.05	0.5	NA	proprac
STICS	psihucc	soil water potential corresponding to field capacity 	Mpa		real	-5	-0.1	NA	psihucc
STICS	psihumin	soil water potential corresponding to wilting point	Mpa		real	-5	-0.1	NA	psihumin
STICS	qmulchdec	maximal amount of decomposable mulch	t ha-1		real	0	NA	NA	qmulchdec
STICS	qmulchruis0	amount of mulch above which runoff is suppressed	t ha-1		real	0	NA	NA	qmulchruis0
STICS	QNpltminINN	minimal amount of N in the plant required to compute INN	kg ha-1		real	0	50	NA	QNpltminINN
STICS	rapNmindec	slope of the linear relationship between the fraction of mineral N available for residue decomposition and the amount of C in decomposing residues (0.001)	g g-1		real	0	0.01	NA	rapNmindec
STICS	ratiodenit	fraction of N2O emitted per unit of N denitrified	unitless		real	0	1	NA	ratiodenit
STICS	ratiolN	nitrogen stress index below which fertilisation is started in automatic mode (0 in manual mode)	unitless		real	0.2	1	NA	ratiolN
STICS	rationit	fraction of N2O emitted per unit of N nitrified	unitless		real	0	1	NA	rationit
STICS	rayon	average root radius	cm 		real	0.005	0.07	NA	rayon
STICS	rdrain	drain radius	cm		real	1	100	NA	rdrain
STICS	resplmax	maximal reserve of biomass	t ha-1		real	0	100	NA	resplmax
STICS	separateurrapport	column separator in rapport.sti file	unitless		character	0	0	NA	separateurrapport
STICS	seuilLAIapex	maximal value of LAI+LAIapex when LAIapex is > 0	m2 m-2		real	0	10	NA	seuilLAIapex
STICS	seuilmortalle	relative transpiring threshold to calculate tiller mortality	mm		real	0	10	NA	seuilmortalle
STICS	seuilreconspeupl	tiller density below which the entire population will not be regenerated	nb m-2		real	0	4000	NA	seuilreconspeupl
STICS	sigmadistalle	parameter used for calculating tiller mortality (gamma law) 	unitless		real	0	0.5	NA	sigmadistalle
STICS	surfapex	equivalent surface of a transpiring apex	m2		real	0	0.0001	NA	surfapex
STICS	swfacmin	"minimal value for drought stress index (turfac, swfac, senfac)"	unitless		NA	NA	NA	NA	swfacmin
STICS	tigefeuilcoupe	ratio stem (structural part)/leaf on the cutting day	unitless		real	0	3	NA	tigefeuilcoupe
STICS	tnitmax	maximal temperature above which nitrification stops	degreeC		real	0	40	NA	tnitmax
STICS	tnitmin	minimal temperature below which nitrification stops	degreeC		real	0	40	NA	tnitmin
STICS	tnitopt	optimal temperature (1/2) for nitrification	degreeC		real	20	40	NA	tnitopt
STICS	tnitopt2	optimal temperature (2/2) for nitrification	degreeC		real	35	45	NA	tnitopt2
STICS	trefdenit1	reference temperature for the soil denitrification (11 degrees C for temperate soils and 20 degrees C for tropical soils)	degreeC		real	-10	20	NA	trefdenit1
STICS	trefdenit2	reference temperature for the soil denitrification (20 degrees C for temperate soils and 29 degrees C for tropical soils)	degreeC		real	-10	20	NA	trefdenit2
STICS	trefh	reference temperature for decomposition of humified organic matter	degreeC		real	-10	20	NA	trefh
STICS	trefr	reference temperature for decomposition of organic residues	degreeC		real	-10	20	NA	trefr
STICS	Vabs2	N uptake rate at which fertilizer loss is divided by 2	kg ha-1 d-1		real	0.5	5	NA	Vabs2
STICS	vitreconspeupl	rate of regeneration of the tiller population	degreeC-1		real	0	0.1	NA	vitreconspeupl
STICS	voleng	maximal fraction of mineral fertilizer that can be volatilized 	unitless		real	0	1	NA	voleng
STICS	Wh	N/C ratio of soil humus	g g-1		real	0.05	0.14	NA	Wh
STICS	Xorgmax	maximal amount of N immobilised in soil derived from the mineral fertilizer 	kg ha-1		real	100	500	NA	Xorgmax
STICS	y0msrac	minimal amount of root mass at harvest (when aerial biomass is nil)	t ha-1		real	0	5	NA	y0msrac
STICS	yres	Carbon assimilation yield by the microbial biomass during crop residues decomposition	g g-1		real	0.3	0.7	NA	yres
TREE	treeSpecies	Name of tree species	NA	walnut-hybrid	character	NA	NA	NA	NA
TREE	crownShape	Crown shape code (PARABOLOID NOT IMPLEMENTED)	1=ellipsoid; 2=paraboloid	1	integer	1	2	NA	NA
TREE	ellipsoidTruncationRatio	Ratio for calculating ellipsoid truncation. A value of 0 means that the shape is a full/true ellipsoid -- verticalCrownRadius = ((height - crownBaseHeight) / (1 - truncatureRatio))/2. Only used when crownShape == 1.	ratio	0	real	0	1	NA	NA
TREE	heightDbhAllometricCoeffA	Parameter A for the allometric relationship between height and DBH: height = A * DBH^B (height & DBH in meters)	NA	30.9	real	NA	NA	NA	NA
TREE	heightDbhAllometricCoeffB	Parameter B for the allometric relationship between height and DBH: height = A * DBH^B (height & DBH in meters)	NA	0.72	real	NA	NA	NA	NA
TREE	crownDbhAllometricCoeffA	Parameter A for the allometric relationship between crown area and DCB: crownArea = A * DCB ^B (cornwArea & DCB in meters)	NA	887.4	real	NA	NA	NA	NA
TREE	crownDbhAllometricCoeffB	Parameter B for the allometric relationship between crown area and DCB: crownArea = A * DCB ^B (cornwArea & DCB in meters)	NA	1.95	real	NA	NA	NA	NA
TREE	stemDbhAllometricCoeffA	"Parameter A for the allometric relationship between stem volume, DBH, and height: volume = exp(A) * DBH^B * height^C"	NA	-1.29	real	NA	NA	NA	NA
TREE	stemDbhAllometricCoeffB	"Parameter B for the allometric relationship between stem volume, DBH, and height: volume = exp(A) * DBH^B * height^C"	NA	1.75	real	NA	NA	NA	NA
TREE	stemDbhAllometricCoeffC	"Parameter C for the allometric relationship between stem volume, DBH, and height: volume = exp(A) * DBH^B * height^C"	NA	0.86	real	NA	NA	NA	NA
TREE	dcbFromDbhAllometricCoeff	"Parameter for the allometric relationship between DBH and DCB: DCB = DBH * min(1, (1 + (1.3 - PH) / H) ^ (1 / COEF (DCB and DBH are in meters; H = tree height; PH = tree pruned height)"	NA	2.14	real	NA	NA	NA	NA
TREE	leafAreaCrownVolCoefA	Parameter A for the allometric relationship between leafArea and crownVolume: leafArea = A * crownVolume ^ B (leafArea in m2 and crownVolume in m3)	NA	5.57	real	NA	NA	NA	NA
TREE	leafAreaCrownVolCoefB	Parameter B for the allometric relationship between leafArea and crownVolume: leafArea = A * crownVolume ^ B (leafArea in m2 and crownVolume in m3)	NA	0.62	real	NA	NA	NA	NA
TREE	stumpToStemBiomassRatio	Stump to stem biomass ratio	ratio	0.2	real	0	1	NA	NA
TREE	maxCrownRadiusInc	Maximum daily allowed growth of crown radius	m	0.1	real	0	NA	NA	NA
TREE	maxHeightInc	Maximum daily allowed growth of tree height	m	0.1	real	0	NA	NA	NA
TREE	branchVolumeRatio	Ratio of branch volume to crown volume	cm3 cm-3	0.0006	real	0	1	NA	NA
TREE	phenologyType	Phenology type	1=ColdDeciduous  2=Evergreen	1	integer	1	2	NA	NA
TREE	budBurstTempAccumulationDateStart	Date to start accumulation of temperature for budburst	DOY	61	integer	1	365	NA	NA
TREE	budBurstTempThreshold	Threshold of effective temperature for cumulating degree day	degrees C	0	real	0	NA	NA	NA
TREE	budBurstAccumulatedTemp	Threshold of accumulated degree-days to trigger budburst	degree(C)-days	612	real	0	NA	NA	NA
TREE	budBurstDelayMinAfterPollaring	Minimum number of days to delay bud burst after pollarding	days	14	integer	0	365	NA	NA
TREE	budBurstDelayMaxAfterPollaring	Maximum number of days to delay bud burst after pollarding	days	28	integer	0	365	NA	NA
TREE	leafExpansionDuration	Duration of leaf expension	days	76	integer	0	365	NA	NA
TREE	budBurstToLeafFallDuration	Bud burst to leaf fall duration 	days	184	integer	0	365	NA	NA
TREE	leafFallDuration	Duration of leaf fall	days	49	integer	1	365	NA	NA
TREE	leafFallFrostThreshold	Threshold for frost mortality of leaves	degrees C	0	real	NA	NA	NA	NA
TREE	woodAreaDensity	Virtual leaf area density for winter light interception by tree branches 	m2 m-3	0.026	real	0	NA	NA	NA
TREE	leafParAbsorption	Absorption coefficient for PAR radiation	ratio	0.85	real	0	1	NA	NA
TREE	leafNirAbsorption	Absorption coefficient for near infra-red radiation	ratio	0.15	real	0	1	NA	NA
TREE	clumpingCoef	"Correction parameter to account for leaf clumping. A clumping coefficient below 1, equal to 1 or
above 1 indicates a clumped, random or regular distribution of leaves inside the canopy
volume, respectively."	NA	1	real	0	NA	NA	NA
TREE	stemFlowCoefficient	Used for calculating stem flow via: stemFlow = rain * stemFlowMax * (1 - e^(-stemFlowCoefficient * lai))	NA	1	real	0	NA	NA	NA
TREE	stemFlowMax	Maximum fraction of rain that leaves via stemflow	ratio	0	real	0	1	NA	NA
TREE	wettability	"Wettability of leaves, for calculating interception of rain by tree canopy"	mm lai-1	0.1	real	0	NA	NA	NA
TREE	transpirationCoefficient	Scaling factor for transpiration. Used via: transpirationDemand = etpPenman * (globalRadIntercepted / globalRadiation) * transpirationCoefficient	NA	1	real	0	NA	NA	NA
TREE	lueMax	Maximum potential light use efficiency	g C MJ-1	0.7	real	0	NA	NA	NA
TREE	leafAgeForLueMax	Leaf age for lueMax (used to compute LUE according to time after budburst)	days	60	integer	1	365	NA	NA
TREE	leafSenescenceTimeConstant	"Used to compute LUE according to time after budburst via: lue = max(lueMax*(1- LeafSenescenceTimeConstant*(DOY-tmax)^2, 0)"	days -2	0.0000781	real	0	NA	NA	NA
TREE	lueStressMethod	"Toggle to select the method for applying water and nitrogen stresses to LUE. If 1, LUE = lueMax * lueWaterStress * lueNitrogenStess. If 2, LUE = lueMax * min(lueWaterStress, lueNitrogenStess)"	NA	1	integer	1	2	NA	NA
TREE	lueWaterStressResponsiveness	Governs amplitude of response in LUE reduction to water stress via: lueWaterStress = waterStress ^ lueWaterStressResponsiveness)	NA	1	real	0	NA	NA	NA
TREE	lueNitrogenStressResponsiveness	Governs amplitude of response in LUE reduction to nitrogen stress via: lueNitrogenStress = nitrogenSatisfaction ^ lueNitrogenStressResponsiveness	NA	1	real	0	NA	NA	NA
TREE	woodCarbonContent	Carbon content of all compartments except leaves	g C g-1 dry biomass	0.5	real	0	1	NA	NA
TREE	leafCarbonContent	Leaf carbon content 	g C g-1 dry biomass	0.5	real	0	1	NA	NA
TREE	leafMassArea	Leaf dry mass per unit leaf area	kg m-2	0.1	real	0	NA	NA	NA
TREE	woodDensity	"wood density of branches, stem, stump, and coarse roots"	kg m-3	616	real	0	NA	NA	NA
TREE	imbalanceThreshold	"Level of aboveGroundImbalance above which remobilisation of reserves is triggered, where aboveGroundImbalance is calculated as: aboveGroundImbalance = max (1 - carbonFoliage / targetCarbonFoliage, 0) and targetCarbonFoliage = leafArea * leafCarbonContent * leafMassArea  "	ratio	0.1	real	0	1	NA	NA
TREE	rsStressMethod	"Toggle to select the method for applying water and nitrogen stresses to shoot-root allocation. If 1, variation = maxTargetLfrRatioDailyVariation * rsWaterStress *rsNitrogenStess. If 2, variation = maxTargetLfrRatioDailyVariation * min(rsWaterStress, rsNitrogenStess)"	NA	1	integer	1	2	NA	NA
TREE	rsWaterStressResponsiveness	Governs amplitude of response in shoot-root allocation to water stress via: rsWaterStress = waterStress ^ rsWaterStressResponsiveness	NA	1.5	real	0	NA	NA	NA
TREE	rsNitrogenStressResponsiveness	Governs amplitude of response in shoot-root allocation to nitrogen stress via: rsNitrogenStress = nitrogenSatisfaction ^ nitrogenStressResponsiveness	NA	1	real	0	NA	NA	NA
TREE	rsNoStressResponsiveness	Governs amplitude of response in shoot-root allocation when there is no stress	day-1	0.02	real	0	NA	NA	NA
TREE	maxTargetLfrRatioDailyVariation	Maximum daily change (positive or negative) in the target leaf-fine root ratio ((leaf cabon / (leaf carbon + fine root carbon)). This is reduced by any stress effects.	kg kg-1	0.002	real	0	NA	NA	NA
TREE	targetLfrRatioUpperDrift	Target daily upwards drift in the target leaf-fine root ratio ((leaf cabon / (leaf carbon + fine root carbon))	kg kg-1	0.17	real	0	NA	NA	NA
TREE	minTargetLfrRatio	Minimum target leaf-fine root ratio ((leaf cabon / (leaf carbon + fine root carbon))	kg kg-1	0.15	real	0	1	NA	NA
TREE	maxTargetLfrRatio	Maximum target leaf-fine root ratio ((leaf cabon / (leaf carbon + fine root carbon))	kg kg-1	0.85	real	0	1	NA	NA
TREE	initialTargetLfrRatio	Initial target leaf-fine root ratio at tree planting. This is also used to calculate the initial fine root carbon pool from the target leaf area for the initialzed crown area. 	kg kg-1	0.5	real	0	1	NA	NA
TREE	optiNCBranch	Functional optimum N/C ratio in branches	kg N kg C-1	0.01	real	0	NA	NA	NA
TREE	optiNCCoarseRoot	Functional optimum N/C ratio in coarse roots	kg N kg C-1	0.01	real	0	NA	NA	NA
TREE	optiNCFineRoot	Functional optimum N/C ratio in fine roots	kg N kg C-1	0.04	real	0	NA	NA	NA
TREE	optiNCFoliage	Functional optimum N/C ratio in foliage	kg N kg C-1	0.04	real	0	NA	NA	NA
TREE	optiNCStem	Functional optimum N/C ratio in stem	kg N kg C-1	0.01	real	0	NA	NA	NA
TREE	optiNCStump	Functional optimum N/C ratio in stump	kg N kg C-1	0.01	real	0	NA	NA	NA
TREE	targetNCoefficient	Coefficient applied to optimum N content to define target N content	NA	1.2	real	1	NA	NA	NA
TREE	luxuryNCoefficient	"Coefficient applied to optimum N content to define maximum N content (i.e. the proportion of N, relative to the optimum level, which may be accumulated as non-structural nitrogen before N absorption ceases completely)"	NA	2	real	2	NA	NA	NA
TREE	maxNSCUseFoliageFraction	Limits daily amount of non-structural carbon (NSC) that can be reallocated from the NSC pool and towards leaf expansion (used as criteria in addition to maxNSCUseFoliageFraction to smooth variation in NSC and avoid leaf expansion from occuring too quickly.	ratio	0.1	real	0	1	NA	NA
TREE	maxNSCUseFraction	Maximum daily fraction of non-structural carbon (NSC) that can be reallocated from the NSC pool and towards leaf expansion (used as criteria in addition to maxNSCUseFoliageFraction to smooth variation in NSC and avoid NSC becoming 0).	ratio	0.2	real	0	1	NA	NA
TREE	targetNSCFraction	Target non-structural carbon pool as a fraction of the tree woody carbon pool (branches + stem + stump + coarse roots)	ratio	0.1	real	0	1	NA	NA
TREE	leafNRemobFraction	Fraction of leaf nitrogen content recoverd from dying leaves each day during senesence	ratio	0.2	real	0	1	NA	NA
TREE	rootNRemobFraction	Fraction of fine root nitrogen content recoverd from dying fine roots each day during senesence	ratio	0.2	real	0	1	NA	NA
TREE	leafSenescenceRate	Additional daily fraction of leaves senesced each day uring the leaf fall period IN ADDITION TO the standard sigmoidal senesence curve calculated as a function of leafFallDuration	ratio	0	real	0	1	NA	NA
TREE	cRAreaToFRLengthRatio	Ratio of coarse root area to fine root length	m2 m-1	0.000000151	real	0	NA	NA	NA
TREE	coarseRootAnoxiaResistance	"After this number of days of saturation in a voxel, anoxia will kill the coarse root and all downstream roots."	days	60	real	0	NA	NA	NA
TREE	specificRootLength	Fine root length per unit dry mass	m g-1 of dry matter	31	real	0	NA	NA	NA
TREE	fineRootLifespan	Mean lifespan of fine roots NOT in anoxic voxel for senescence calculation	days	175	real	0	NA	NA	NA
TREE	fineRootAnoxiaLifespan	Mean lifespan of fine roots in anoxic voxel for senescence calculation	days	30	real	0	NA	NA	NA
TREE	colonisationThreshold	Threshold for root colonisation 	m of root m-3 voxel	500	real	0	NA	NA	NA
TREE	colonisationFraction	"The proportion of fine-root-allocated carbon that is allocated to colonisation (only on days when there is any colonisation). The remainder is allocated to proliferation. This is typically a small proportion - just enough to ""seed"" the newly colonized voxels. This proportion of carbon is split equally among all newly colonized voxels. Has practically no impact on the model, as long as it is not 0, which means that no voxels can ever be colonized."	ratio	0.1	real	0	1	NA	NA
TREE	horizontalPreference	Fraction of root colonisation to horizontal voxels (e.g. a value of 0.67 means no vertical-horizontal preference since there are twice as many horizontally adjacent voxels as there are vertically adjacent voxels. 	ratio	0.5	real	0	1	NA	NA
TREE	geotropismFactor	"Governs the fraction of vertical root colonisation to upward vs. downward voxels (1 means no upward colonization, 0 allows both)"	NA	0	real	0	1	NA	NA
TREE	localWaterUptakeFactor	Fine root proliferation weighting factor for water uptake efficiency	NA	1	real	0	NA	NA	NA
TREE	sinkDistanceEffect	"Fine root proliferation weighting factor for the ""cost"" of fine roots (i.e. the cost of the coarse roots necessary to connect the fine roots to the tree stump)"	NA	1	real	0	NA	NA	NA
TREE	localNitrogenUptakeFactor	Fine root proliferation weighting factor for nitrogen uptake efficiency	NA	1	real	0	NA	NA	NA
TREE	coarseRootTopologyType	Coarse root topology shape at initalization. Only impacts initialization of large root systems.	"1: surface then down; 2: taproot, 3: ray from stump"	1	integer	1	3	NA	NA
TREE	treeRootDiameter	Fine root diameter 	cm	0.049	real	0	NA	NA	NA
TREE	treeRootConductivity	Fine root axial conductance of water	cm day-1	0.00001	real	0	NA	NA	NA
TREE	treeAlpha	Parameter for transpiration reduction factor following Campbell	NA	0.1	real	0	1.00E+00	NA	NA
TREE	treeMinTranspirationPotential	Minimum tree transpiration potential	cm	-30000	real	NA	0	NA	NA
TREE	treeMaxTranspirationPotential	Max tree transpiration potential	cm	-15000	real	NA	0	NA	NA
TREE	treeBufferPotential	Potential drop needed to enter the root expressed as a % of soil water potential 	%	0.05	real	0	1	NA	NA
TREE	treeLongitudinalResistantFactor	Longitudinal resistance factor for water flow in coarse roots from voxel to stem base	mm cm-1 m-1	2000	real	0.00E+00	NA	NA	NA
TREE	treeHarmonicWeightedMean	"The relative influence of dry voxels on the calculation of the averaged soil water potential perceived by the tree
(When == 1, the harmonic average is used.)"	unitless	1	real	NA	NA	NA	NA
PLT	abscission	proportion of senescent leaves falling		0	real	1.00E-04	100	NA	abscission
PLT	adfol	parameter for the evolution function of leaf density	m2m-3/m2m-2	1.5	real	-10	1.00E+01	NA	adfol
PLT	adil	parameter for the critical dilution curve  [Nplant]=adil MS^(-bdil)	N% MS	5.35	real	1	7	NA	adil
