#subject	order	variable	frenchUnity	englishUnity	frenchDescription	englishDescription		
SafeTree	57	captureFactorForDirectPar	m	m	captureFactorForDirectPar	cf-captureFactorForDirectPar		
SafeTree	58	captureFactorForDirectNir	m	m	captureFactorForDirectNir	cg-captureFactorForDirectNir		
SafeTree	59	captureFactorForDiffuseNir	m	m	captureFactorForDiffuseNir	ch-captureFactorForDiffuseNir		
SafeTree	34	carbonAboveGroundEff	-	-	efficience du carbone aérien	bi-above ground carbon efficency		
SafeTree	22	carbonAllocToGrowth	kg c	kg c	CarbonAllocToGrowth	aw-CarbonAllocToGrowth		
SafeTree	35	carbonBelowGroundEff	-	-	efficience du carbone souterrain	bj-below ground carbon efficiency		
SafeTree	26	carbonBranches	kg	kg	Pool carbone branches	ba-Carbon branches pool		
SafeTree	25	carbonCoarseRoots	kg	kg	Pool carbone racines structure	az-Carbon coarse roots pool
SafeTree	25	carbonCoarseRootsIncrement	kg	kg	Carbon alloué aux racines structure	az-Carbon coarse roots daily allocated 				
SafeTree	32	carbonCoarseRootSen	kg	kg	Carbon senescent des racines structures	bg-Carbon coarse roots daily senescent 		
SafeTree	27	carbonFineRoots	kg	kg	Pool carbone racines fines	bb-Carbon fine roots pool		
SafeTree	30	carbonFineRootsIncrement	kg	kg	Carbon alloué aux racines fines	be-Carbon fine roots daily allocated 		
SafeTree	31	carbonFineRootSen	kg	kg	Carbon senescent des racines fines	bf-Carbon fine roots daily senescent 		
SafeTree	28	carbonFoliage	kg	kg	Pool carbone feuillage	bc-Carbon foliage pool		
SafeTree	99	carbonFoliageMax	kg	kg	Pool carbone feuillage max	zz-Carbon foliage pool max		
SafeTree	23	carbonIncrement	kg c	kg c	gain de carbone journalier	ax-carbone daily increment		
SafeTree	29	carbonLabile	kg	kg	Pool carbone réserves	bd-Carbon labile pool		
SafeTree	99	carbonLeavesSen	kg	kg	carbonLeavesSenescence	zz-carbonLeavesSenescence		
SafeTree	99	nitrogenLeavesSen	kg	kg	nitrogenLeavesSenescence	zz-nitrogenLeavesSenescence		
SafeTree	24	carbonStem	kg	kg	Pool carbone tige	ay-Carbon stem pool
SafeTree	25	carbonStump	kg	kg	Pool carbone souche	az-Carbon stump pool		
SafeTree	48	crownBaseHeight	m	m	Hauteur de la base du houppier	bw-Crown base height		
SafeTree	49	crownRadiusInterRow	m	m	Rayon du houppier dans le rang	bx-Crown radius inter row		
SafeTree	50	crownRadiusTreeLine	m	m	Rayon du houppier sur la ligne d'arbres	by-Crown radius on tree line		
SafeTree	51	crownRadiusVertical	m	m	Rayon du houppier vertical 	bz-Vertical crown radius		
SafeTree	47	crownVolume	m3	m3	Volume du houppier	bv-Crown volume		
SafeTree	1	dbh	cm	cm	Diamètre de l'arbre à hauteur de poitrine	aa-tree diameter at breast height		
SafeTree	15	diffuseParIntercepted	Moles	Moles	Rayonnement PAR diffus intercepté	ap-diffuse PAR intercepted		
SafeTree	16	directParIntercepted	Moles	Moles	Rayonnement PAR direct intercepté	aq-direct PAR intercepted		
SafeTree	99	evaporatedRain	l	liters	Eau de pluie évaporée	zz-Water evaporated rain		
SafeTree	17	globalRadIntercepted	MJ	MJ	Rayonnement global intercepté (PAR + NIR)	ar-global radiation intercepted		
SafeTree	2	height	m	m	Hauteur de l'arbre	ab-tree height		
SafeTree	99	interceptedRain	litres	liters	Eau de pluie interceptée	zz-Water intercepted rain		
SafeTree	13	leafArea	m2	m2	Surface foliaire	an-Leaf area		
SafeTree	52	leafAreaMax	m2	m2	Surface foliaire max	ca-Leaf area max		
SafeTree	14	lfrRatio	-	-	ratio feuilles / racines fines	ao-leaf/fine roots ratio		
SafeTree	7	lightCompetitionIndex	-	-	Indice de compétition pour la lumière entre arbres	ah-Index of between trees light competition				
SafeTree	36	nitrogenBranchesConc	kg	kg	Pool azote branches	bk-Nitrogen branches pool		
SafeTree	37	nitrogenCoarseRootsConc	kg	kg	Pool azote racines structure	bl-Nitrogen coarse roots pool		
SafeTree	41	nitrogenCoarseRootSen	kg	kg	Azote senescent des racines structure	bp-Nitrogen coarse roots daily senescent 		
SafeTree	35	nitrogenDemand	kg	kg	Azote demandée	bj-Nitrogen demand		
SafeTree	38	nitrogenFineRootsConc	kg	kg	Pool azote racines fines	bm-Nitrogen fine roots pool		
SafeTree	42	nitrogenFineRootSen	kg	kg	Azote senescent des racines fines	bq-Nitrogen fine roots daily senescent 		
SafeTree	39	nitrogenFoliageConc	kg	kg	Pool azote feuillage	bn-Nitrogen foliage pool		
SafeTree	40	nitrogenLabile	kg	kg	Pool azote réserves	bo-Nitrogen labile pool		
SafeTree	43	nitrogenSatisfaction	 -	 -	Nitrogen satisfaction	br-Nitrogen satisfaction		
SafeTree	44	nitrogenSaturation	 -	 -	Nitrogen saturation	bs-Nitrogen saturation		
SafeTree	99	nitrogenSinkStrength	 -	 - 	Azote foce de puit	zz-nitrogen Sink Strength		
SafeTree	35	nitrogenStemConc	kg	kg	Pool azote tige	bj-Nitrogen stem pool		
SafeTree	8	nitrogenStress	 -	 -	Stress azoté	ai-Nitrogen Stress		
SafeTree	9	nitrogenStressSpring	 -	 -	Stress azoté de printemps	aj-Nitrogen stress spring		
SafeTree	10	nitrogenStressSummer	 -	 -	Stress azoté d'été	ak-Nitrogen stress summer		
SafeTree	36	nitrogenUptake	kg	kg	Azote extraite	bk-Nitrogen uptake		
SafeTree	99	nitrogenUptakeAnnual	kg	kg	Azote extraite anuelle	zz-Nitrogen uptake annual		
SafeTree	11	phenologicalStage	-	-	Stade phenologique	al-Phenological stage		
SafeTree	3	rootingDepth	m	m	profondeur d'enracinement	ac-rooting depth		
SafeTree	99	stemflow	litres	liters	Stemflow	zz-Stemflow		
SafeTree	46	stemVolume	m3	m3	Volume de la tige	bu-Stem volume		
SafeTree	99	storedRain	litres	liters	Eau de pluie stockée	zz-Water stored rain		
SafeTree	12	targetLfrRatio	-	-	ratio feuilles / racines fines cible	am-target leaf/fine roots ratio		
SafeTree	45	totalOptiN	kg N	kg N	totalOptiN	bt-totalOptiN		
SafeTree	53	totalRootLength	m	m	Longueur totale des racines fines	cb-Total fine root lenght		
SafeTree	18	waterDemand	litres	liters	Eau demandée	as-Water demand		
SafeTree	19	waterDemandReduced	litres	liters	Eau demandée (reduite campbell)	at-Water demand reduiced		
SafeTree	4	waterStress	 -	 -	Stress hydrique	ad-Water stress		
SafeTree	5	waterStressSpring	 -	 -	Stress hydrique de printemps	af-Water stress spring		
SafeTree	6	waterStressSummer	 -	 -	Stress hydrique d'été	ag-Water stress summer		
SafeTree	20	waterUptake	litres	liters	Eau transpirée	au-Water uptake		
SafeTree	99	waterUptakeAnnual	litres	liters	Eau transpirée annuelle	zz-Water uptake annual			
SafeTree	99	parInterceptedAnnual	Moles	Moles	Rayonnement PAR  intercepté annuel	zz-PAR intercepted annual		
SafeTree	99	interceptedRainAnnual	litres	liters	Eau de pluie interceptée annuel	zz-Water intercepted rain annual		
SafeTree	99	carbonAllocToGrowthAnnual	kg c	kg c	CarbonAllocToGrowth annual	zz-CarbonAllocToGrowth annual		
SafeTree	99	carbonLeavesSenAnnual	kg	kg	carbonLeavesSenescence annual	zz-carbonLeavesSenescence annual		
SafeTree	99	carbonFineRootSenAnnual	kg	kg	Carbon senescent des racines fines annuel	zz-Carbon fine roots annual senescent 		
SafeTree	99	carbonCoarseRootSenAnnual	kg	kg	Carbon senescent des racines structure annuel	zz-Carbon coarse  roots annual senescent 	
SafeTree	99	totalRootVolume	m3	m3	Volume total des voxels racinés	zz-Total volume of rooted voxels 
SafeTree	99	totalRootVolumePerLayer	m3	m3	Volume total des voxels racinés par couches	zz-Total volume of rooted voxels per layers
SafeTree	54	maxRootDistanceOnTreeLine	m	m	Extension des racines dans la ligne des arbres	cc-Root extension on tree line
SafeTree	55	maxRootDistanceOnCropLine	m	m	Extension des racines dans la direction culture	cd-Root extension on crop line
SafeTree	99	budburstDate	-	-	Date débourrement	zz-Date of budburst 
SafeTree	99	leafExpansionEndingDate	-	-	Date fin expension feuilles	zz-Date of leaf Expansion End 
SafeTree	99	leafFallStartingDate	-	-	Date début chute feuilles	zz-Date of leaf Fall Start 
SafeTree	99	leafFallEndingDate	-	-	Date fin chute feuilles	zz-Date of leaf Fall End
SafeVoxel	15	cropNitrogenUptake	g N 	g N 	Azote extraite (culture)	ap-Crop nitrogen uptake quantity		
SafeVoxel	35	nMinFromRootSen		g N 	g N 	nMinFromRootSen		bj-nMinFromRootSen 
SafeVoxel	36	nitrogenRootSenStock		g N 	g N 	nitrogenRootSenStock		bk-nitrogenRootSenStock 
SafeVoxel	37	treeCarbonCoarseRootSen	Kg	Kg	tree carbonCoarseRootSen	bl-tree carbonCoarseRootSen		
SafeVoxel	38	treeNitrogenCoarseRootSen	Kg	Kg	tree nitrogenCoarseRootSen	bm-tree nitrogenCoarseRootSen		
SafeVoxel	39	treeCarbonFineRootSen	Kg	Kg	tree carbonFineRootSen	bn-tree carbonFineRootSen		
SafeVoxel	40	treeNitrogenFineRootSen	Kg	Kg	nitrogenFineRootSen	bo-nitrogenFineRootSen	
SafeVoxel	41	nitrogenCropResiduMineralisation	Kg	Kg	nitrogenCropResiduMineralisation	bp-nitrogenCropResiduMineralisation		
SafeVoxel	13	cropRootDensity	m m-3	m m-3	Densité de racines (culture)	an-Crop root density		
SafeVoxel	14	cropWaterUptake	litres	liters	Eau extraite (culture)	ao-Crop water uptake quantity 		
SafeVoxel	16	evaporation	litres	liters	Eau évaporée 	aq-Evaporation		
SafeVoxel	42	nitrogenAvailableForBoth	g	g	nitrogenAvailableForBoth 	bq-nitrogenAvailableForBoth		
SafeVoxel	43	nitrogenAvailableForTrees	g	g	nitrogenAvailableForTrees 	br-nitrogenAvailableForTrees		
SafeVoxel	44	nitrogenAvailableForCrops	g	g	nitrogenAvailableForCrops 	bs-nitrogenAvailableForCrops		
SafeVoxel	17	waterAvailable	mm	mm	waterAvailable 	ar-waterAvailable		
SafeVoxel	18	isSaturated	-	-	Voxel saturé	as-Saturated voxel		
SafeVoxel	8	nitrogenNh4Stock	g N 	g N 	Stock azote Nh4	ai-Nitrogen stock Nh4		
SafeVoxel	9	nitrogenNo3Stock	g N 	g N 	Stock azote No3	aj-Nitrogen stock No3		
SafeVoxel	19	saturationDuration	jours	days	Durée de la saturation	at-Saturation duration			
SafeVoxel	45	treeCoarseRootBiomass	kg C	kg C	Biomasse de racine de structure (arbre)	bt-Tree coarse root biomass		
SafeVoxel	12	treeNitrogenUptake	g N 	g N 	Azote extraite (arbre)	am-Tree nitrogen uptake quantity 		
SafeVoxel	10	treeRootDensity	m m-3	m m-3	Densité de racines fines (arbre)	ak-Tree fine root density		
SafeVoxel	11	treeWaterUptake	litres	liters	Eau extraite (arbre)	al-Tree water uptake  		
SafeVoxel	33	volume	m3	m3	Volume	Volume		
SafeVoxel	34	volumeFineSoil	m3	m3	Volume terre fine	Volume FineSoil				
SafeVoxel	20	sumEvaporation	litres	liters	Cumul Eau évaporée 	Sum Evaporation		
SafeVoxel	21	sumTreeWaterUptake	litres	liters	Somme Eau extraite (arbre)	Sum Tree water uptake quantity 		
SafeVoxel	22	sumTreeNitrogenUptake	g N 	g N 	Somme Azote extraite (arbre)	Sum Tree nitrogen uptake quantity 		
SafeVoxel	23	sumCropWaterUptake	litres	litres	Somme Eau extraite (culture)	Sum Crop water uptake quantity 		
SafeVoxel	24	sumCropNitrogenUptake	g N 	g N 	Somme Azote extraite (culture)	Sum Crop nitrogen uptake quantity 		
SafeVoxel	25	fieldCapacity	m m-3	m m-3	Capacité au champs	Field capacity	
SafeVoxel	26	fieldCapacityFineSoil	m m-3	m m-3	Capacité au champs terre fine	Field capacity in fine soil	
SafeVoxel	27	fieldCapacityStone	m m-3	m m-3	Capacité au champs cailloux	Field capacity in stones
SafeVoxel	28	wiltingPoint	m m-3	m m-3	Point de fletrissement	WiltingPoint	
SafeVoxel	29	wiltingPointFineSoil	m m-3	m m-3	Point de fletrissement terre fine	WiltingPoint in fine soil		
SafeVoxel	30	wiltingPointStone	m m-3	m m-3	Point de fletrissement cailloux	WiltingPoint in stones
SafeVoxel	31	bulkDensity	m m-3	m m-3	bulkDensity	bulkDensity
SafeVoxel	32	bulkDensityFineSoil	m m-3	m m-3	bulkDensity terre fine	bulkDensity in FineSoil	
SafeVoxel	1	theta	m3 m-3	m3 m-3	Teneur en eau 	Water theta 	
SafeVoxel	2	thetaFineSoil	m3 m-3	m3 m-3	Teneur en eau terre fine 	Water theta in FineSoil 	
SafeVoxel	3	thetaStone	m3 m-3	m3 m-3	Teneur en eau cailloux 	Water theta in stones
SafeVoxel	4	waterPotentialTheta	cm	cm	potentiel hydrique du sol	soil water potential
SafeVoxel	5	waterPotentialThetaFineSoil	cm	cm	potentiel hydrique du sol terre fine	soil water potential in FineSoil 
SafeVoxel	6	waterStock	litres	liters	Stock eau	Water stock
SafeVoxel	7	waterStockFineSoil	litres	liters	Stock eau terre fine	Water stock in FineSoil	
SafeVoxel	99	coefWater0	-	-	coefWater0	coefWater0
SafeVoxel	99	coefNitrogen0	-	-	coefNitrogen0	coefNitrogen0
SafeVoxel	99	coefCost0	-	-	coefCost0	coefCost0
SafeVoxel	99	coefWater1	-	-	coefWater1	coefWater1
SafeVoxel	99	coefNitrogen1	-	-	coefNitrogen1	coefNitrogen1
SafeVoxel	99	coefCost1	-	-	coefCost1	coefCost1
SafeVoxel	99	waterMark	-	-	waterMark	waterMark
SafeVoxel	99	nitrogenMark	-	-	nitrogenMark	nitrogenMark
SafeVoxel	99	costMark	-	-	costMark	costMark
SafeVoxel	99	totalMark	-	-	totalMark	totalMark
SafeVoxel	99	proportion	-	-	proportion	proportion
SafeVoxel	99	waterEfficiency	-	-	waterEfficiency	waterEfficiency
SafeVoxel	99	nitrogenEfficiency	-	-	nitrogenEfficiency	nitrogenEfficiency
SafeVoxel	99	fineRootCost	-	-	fineRootCost	fineRootCost
SafeVoxel	99	waterEfficiencyMax	-	-	waterEfficiencyMax	waterEfficiencyMax
SafeVoxel	99	nitrogenEfficiencyMax	-	-	nitrogenEfficiencyMax	nitrogenEfficiencyMax
SafeVoxel	99	fineRootCostMax	-	-	fineRootCostMax	fineRootCostMax
SafeVoxel	99	T1threshold	-	-	T1threshold	T1threshold
SafeVoxel	99	T2threshold	-	-	T2threshold	T2threshold
SafeVoxel	99	T3threshold	-	-	T3threshold	T3threshold
SafeVoxel	99	neighboursColonisedNumber	-	-	neighboursColonisedNumber	neighboursColonisedNumber
SafeVoxel	99	fineRootTotalInvestment	-	-	fineRootTotalInvestment	fineRootTotalInvestment
SafeVoxel	99	additionalRootToVoxel	-	-	additionalRootToVoxel	additionalRootToVoxel
SafeVoxel	99	voxelFilling	-	-	voxelFilling	voxelFilling
SafeVoxel	99	L0	-	-	L0	L0
SafeVoxel	99	L1	-	-	L1	L1
SafeVoxel	99	L2	-	-	L2	L2
SafeVoxel	99	Lmin	-	-	Lmin	Lmin
SafeVoxel	99	Lmax	-	-	Lmax	Lmax
SafeVoxel	99	treeWaterStress	-	-	treeWaterStress	treeWaterStress
SafeVoxel	99	treeAdditionalRoot	-	-	treeAdditionalRoot	treeAdditionalRoot
SafeVoxel	99	treeRootedVolume	-	-	treeRootedVolume	treeRootedVolume
